iter	Passed	Remaining
0	136	136209
1	137	68592
2	138	46037
3	139	34745
4	140	27975
5	141	23447
6	142	20207
7	143	17814
8	144	15932
9	145	14433
10	147	13243
11	148	12237
12	150	11390
13	151	10701
14	153	10057
15	154	9489
16	155	8989
17	156	8543
18	157	8146
19	158	7781
20	159	7457
21	161	7163
22	162	6892
23	163	6645
24	164	6415
25	166	6250
26	168	6061
27	169	5883
28	170	5716
29	172	5579
30	173	5426
31	175	5297
32	176	5165
33	177	5039
34	178	4921
35	179	4806
36	181	4736
37	183	4633
38	183	4533
39	185	4440
40	185	4349
41	186	4264
42	188	4190
43	189	4120
44	190	4045
45	191	3976
46	192	3913
47	195	3874
48	196	3819
49	197	3761
50	199	3704
51	200	3652
52	201	3600
53	202	3548
54	203	3499
55	204	3453
56	206	3413
57	207	3373
58	209	3333
59	210	3297
60	211	3262
61	213	3224
62	214	3190
63	216	3172
64	218	3144
65	219	3110
66	220	3077
67	222	3049
68	225	3039
69	226	3012
70	227	2983
71	229	2956
72	230	2930
73	232	2910
74	234	2889
75	235	2865
76	242	2907
77	244	2885
78	245	2862
79	246	2839
80	248	2814
81	249	2789
82	249	2758
83	250	2734
84	251	2710
85	253	2689
86	254	2675
87	256	2658
88	257	2640
89	259	2621
90	260	2602
91	262	2589
92	274	2678
93	275	2659
94	277	2642
95	278	2626
96	280	2615
97	282	2598
98	291	2648
99	292	2632
100	294	2617
101	295	2601
102	297	2586
103	298	2571
104	300	2557
105	301	2545
106	303	2532
107	304	2516
108	306	2501
109	307	2488
110	308	2472
111	309	2456
112	311	2441
113	312	2427
114	313	2415
115	315	2402
116	316	2391
117	318	2380
118	319	2367
119	321	2355
120	326	2368
121	326	2353
122	328	2339
123	329	2326
124	330	2314
125	333	2313
126	334	2299
127	335	2287
128	337	2277
129	338	2267
130	340	2257
131	341	2245
132	342	2234
133	344	2224
134	345	2214
135	347	2205
136	348	2195
137	349	2185
138	351	2175
139	352	2165
140	353	2156
141	354	2143
142	360	2162
143	362	2156
144	364	2147
145	365	2138
146	367	2130
